State,year,number_breweries,population,residents_per_brewery
MI,1998,71,9820.231,138.31311267605633
MN,1998,35,4726.411,135.0403142857143
MO,1998,26,5437.562,209.137
MT,1998,24,879.533,36.64720833333333
NC,1998,50,7545.828,150.91656
ND,1998,6,637.808,106.30133333333333
NE,1998,8,1660.772,207.5965
NH,1998,19,1185.823,62.41173684210527
NJ,1998,27,8095.542,299.8348888888889
NM,1998,27,1733.535,64.205
NV,1998,20,1743.772,87.1886
NY,1998,88,18159.175,206.35426136363637
OH,1998,68,11237.752,165.26105882352942
OK,1998,10,3339.478,333.94780000000003
OR,1998,88,3282.055,37.296079545454546
PA,1998,63,12002.329,190.51315873015872
RI,1998,5,987.704,197.5408
SC,1998,23,3839.578,166.93817391304347
SD,1998,5,730.789,146.1578
TN,1998,25,5432.679,217.30716
TX,1998,65,19712.389,303.26752307692306
UT,1998,17,2100.562,123.56247058823529
VA,1998,27,6789.225,251.45277777777778
VT,1998,27,590.579,21.873296296296296
WA,1998,115,5687.832,49.45940869565218
WI,1998,65,5222.124,80.34036923076923
WV,1998,5,1811.688,362.3376
WY,1998,15,480.045,32.003
AK,1999,19,619.5,32.60526315789474
AL,1999,9,4369.862,485.5402222222222
AR,1999,4,2551.373,637.84325
AZ,1999,48,4778.332,99.54858333333334
CA,1999,289,33145.121,114.689
CO,1999,102,4056.133,39.76600980392157
CT,1999,26,3282.031,126.23196153846153
DC,1999,4,519,129.75
DE,1999,9,753.538,83.72644444444444
FL,1999,97,15111.244,155.7860206185567
GA,1999,30,7788.24,259.608
HI,1999,16,1185.497,74.0935625
IA,1999,14,2869.413,204.95807142857143
ID,1999,25,1251.7,50.068000000000005
IL,1999,47,12128.37,258.0504255319149
IN,1999,24,5942.901,247.62087499999998
KS,1999,15,2654.052,176.9368
KY,1999,12,3960.825,330.06874999999997
LA,1999,11,4372.035,397.45772727272725
MA,1999,50,6175.169,123.50337999999999
MD,1999,30,5171.634,172.3878
ME,1999,37,1253.04,33.865945945945946
MI,1999,79,9863.775,124.85791139240506
MN,1999,36,4775.508,132.653
MO,1999,30,5468.338,182.27793333333332
MS,1999,3,2768.619,922.873
MT,1999,24,882.779,36.78245833333333
NC,1999,52,7650.789,147.1305576923077
ND,1999,3,633.666,211.222
NE,1999,9,1666.028,185.11422222222222
