"","STATE","year","bottle_can_production","keg_production","sold_in_brewery","total_production","population","percent_in_brewery","prodcution_PP","consumed_in_brewery_PP","percent_in_can","percent_in_keg","Total Production","Brewery Consumption (PP)","Consumed in Brewery (%)","Canned or Bottled (%)","Kegged (%)","Total Production (PP)"
"93","SD",2008,0,572,879.82,1451.82,799.124,60.6011764543814,1.81676435697088,1.10098057372823,0,39.3988235456186,1452,1.1,60.6,0,39.4,1.1
"94","TN",2008,292.08,10155.49,12092.4,22539.97,6247.411,53.6486960719114,3.60788973224268,1.93558579706057,1.29583136091131,45.0554725671773,22540,1.94,53.65,1.3,45.06,1.94
"95","TX",2008,18671765.96,1094276.99,9670.24,19775713.19,24309.039,0.0488995765011902,813.512750956547,0.397804290000933,94.4176616064687,5.53343881703009,19775713,0.4,0.05,94.42,5.53,0.4
"96","UT",2008,22701.49,26717.11,6446.05,55864.65,2663.029,11.5386921783274,20.9778601735092,2.42057071102117,40.6365921920213,47.8247156296513,55865,2.42,11.54,40.64,47.82,2.42
"97","VA",2008,14083265,1425448.78,11976.19,15520689.97,7833.496,0.0771627422695049,1981.3235329411,1.52884357124839,90.7386529028129,9.18418435491757,15520690,1.53,0.08,90.74,9.18,1.53
"98","VT",2008,219875.42,70621.02,3486.81,293983.25,624.151,1.18605736891473,471.013024091927,5.58648468079039,74.7918189216562,24.022123709429,293983,5.59,1.19,74.79,24.02,5.59
"99","WA",2008,130485.73,165425.08,17195.23,313106.04,6562.231,5.4918231535872,47.7133523644626,2.6203329325042,41.6746128563984,52.8335639900144,313106,2.62,5.49,41.67,52.83,2.62
"100","WI",2008,7202790.46,1039757.77,14919.93,8257468.16,5640.996,0.180684075444258,1463.83159286055,2.64491057962105,87.2275898669647,12.591726057591,8257468,2.64,0.18,87.23,12.59,2.64
"101","WV",2008,1277.63,1655.04,608.65,3541.32,1840.31,17.1870940779144,1.92430623101543,0.330732322271791,36.0777902025233,46.7351157195622,3541,0.33,17.19,36.08,46.74,0.33
"102","WY",2008,1666.38,2989.71,2135.61,6791.7,546.043,31.4444100887848,12.4380314370846,3.91106561204887,24.5355360219091,44.0200538893061,6792,3.91,31.44,24.54,44.02,3.91
"103","AK",2009,89762.16,52278.05,2263.65,144303.86,698.895,1.56866905708551,206.47430586855,3.23889854699204,62.2035751503806,36.2277557925339,144304,3.24,1.57,62.2,36.23,3.24
"104","AL",2009,0,459.88,238.6,698.48,4757.938,34.1598900469591,0.146803089909957,0.0501477740987798,0,65.8401099530409,698,0.05,34.16,0,65.84,0.05
"105","AR",2009,1269.26,1081.95,1279.34,3630.55,2896.843,35.2381870515487,1.25327813761395,0.441632494408568,34.9605431683905,29.8012697800609,3631,0.44,35.24,34.96,29.8,0.44
"106","AZ",2009,7383.27,18303.18,15640.69,41327.14,6343.154,37.8460498355318,6.51523516534519,2.46575914757863,17.8654269325194,44.2885232319488,41327,2.47,37.85,17.87,44.29,2.47
"107","CA",2009,19452836.45,2070667.22,54504.99,21578008.66,36961.229,0.252595088169735,583.801167975231,1.47465307498298,90.1512125447446,9.59619236708565,21578009,1.47,0.25,90.15,9.6,1.47
"108","CO",2009,21095113.55,2285814.82,49895.79,23430824.16,4972.195,0.212949359609722,4712.37032336825,10.0349624260513,90.0314620004387,9.75558863995162,23430824,10.03,0.21,90.03,9.76,10.03
"109","CT",2009,3152.59,5471.25,2075.57,10699.41,3561.807,19.3989201273715,3.00392750084437,0.582729496572947,29.4650826540903,51.1359972185382,10699,0.58,19.4,29.47,51.14,0.58
"110","DC",2009,629.61,0,2948.61,3578.22,592.228,82.4043798313128,6.04196356808527,4.97884260791452,17.5956201686872,0,3578,4.98,82.4,17.6,0,4.98
"111","DE",2009,73743.37,37560.36,2205.38,113509.11,891.73,1.94291013293999,127.290895226133,2.47314770165857,64.9669176333071,33.0901722337529,113509,2.47,1.94,64.97,33.09,2.47
"112","FL",2009,9028726.18,1297356.04,6426.66,10332508.88,18652.644,0.0621984464241757,553.943391617832,0.344544183655679,87.3817413065703,12.5560602470056,10332509,0.34,0.06,87.38,12.56,0.34
"113","GA",2009,15110122.41,578799.07,3038.61,15691960.09,9620.846,0.0193641201135632,1631.03744618716,0.315836050176876,96.292128729216,3.68850715067043,15691960,0.32,0.02,96.29,3.69,0.32
"114","HI",2009,5154.78,13292.91,1578.85,20026.54,1346.717,7.88378821304129,14.870637260835,1.17236954757384,25.7397433605605,66.3764684263982,20027,1.17,7.88,25.74,66.38,1.17
"115","IA",2009,2714.54,2634.37,6487.26,11836.17,3032.87,54.8087768256117,3.90263018197285,2.13898386676646,22.9342768817954,22.256946292593,11836,2.14,54.81,22.93,22.26,2.14
"116","ID",2009,4765.33,6797.91,3195.88,14759.12,1554.439,21.6535945232507,9.49482096113131,2.05597003163199,32.2873585959054,46.0590468808438,14759,2.06,21.65,32.29,46.06,2.06
"117","IL",2009,920737.45,46856.93,17090.05,984684.43,12796.778,1.73558649647786,76.9478403079275,1.33549632571574,93.5058402416295,4.75857326189264,984684,1.34,1.74,93.51,4.76,1.34
"118","IN",2009,9704.3,14744.42,9190.01,33638.73,6459.325,27.3197293714715,5.20777790248981,1.42275082922751,28.8485920841839,43.8316785443446,33639,1.42,27.32,28.85,43.83,1.42
"119","KS",2009,1869.36,1857.82,6970.03,10697.21,2832.704,65.1574569443808,3.77632467070333,2.46055712139355,17.4752108260004,17.3673322296188,10697,2.46,65.16,17.48,17.37,2.46
"120","KY",2009,76927.25,5312,5672.58,87911.83,4317.074,6.4525786802527,20.363753319957,1.3139872052228,87.5050035928043,6.04241772694301,87912,1.31,6.45,87.51,6.04,1.31
"121","LA",2009,58728.33,34585.32,1513.57,94827.22,4491.648,1.5961345276177,21.111899240546,0.336974313214214,61.9319326244089,36.4719328479734,94827,0.34,1.6,61.93,36.47,0.34
"122","MA",2009,64333.05,84522.98,11547.2,160403.23,6517.613,7.19885752924053,24.610732487492,1.77169156867706,40.1070788911171,52.6940635796424,160403,1.77,7.2,40.11,52.69,1.77
"123","MD",2009,48841.34,24036.23,7577.58,80455.15,5730.388,9.4183902459942,14.0400876869071,1.32235024923269,60.7062941278464,29.8753156261594,80455,1.32,9.42,60.71,29.88,1.32
