State,year,number_breweries
IL,2014,164
IN,2014,116
KS,2014,27
KY,2014,38
LA,2014,17
MA,2014,98
MD,2014,55
ME,2014,71
MI,2014,256
MN,2014,113
MO,2014,77
MS,2014,10
MT,2014,62
NC,2014,155
ND,2014,10
NE,2014,35
NH,2014,46
NJ,2014,49
NM,2014,60
NV,2014,34
NY,2014,255
OH,2014,151
OK,2014,18
OR,2014,244
PA,2014,233
RI,2014,14
SC,2014,37
SD,2014,15
TN,2014,69
TX,2014,170
UT,2014,27
VA,2014,117
VT,2014,51
WA,2014,314
WI,2014,168
WV,2014,13
WY,2014,28
Other,2014,NA
Total,2014,4938
AK,2015,35
AL,2015,30
AR,2015,29
AZ,2015,91
CA,2015,788
CO,2015,352
CT,2015,59
DC,2015,13
DE,2015,21
FL,2015,205
GA,2015,54
HI,2015,26
IA,2015,71
ID,2015,57
IL,2015,210
IN,2015,151
KS,2015,37
KY,2015,48
LA,2015,25
MA,2015,124
MD,2015,73
ME,2015,84
MI,2015,316
MN,2015,142
MO,2015,90
MS,2015,14
MT,2015,74
NC,2015,207
ND,2015,11
NE,2015,39
NH,2015,63
NJ,2015,71
NM,2015,71
NV,2015,39
NY,2015,329
OH,2015,187
OK,2015,21
OR,2015,281
PA,2015,278
RI,2015,15
SC,2015,51
SD,2015,19
TN,2015,88
TX,2015,220
